What is React?,A JavaScript library for building user interfaces
What is a Single Page Application (SPA)?,A web application that dynamically rewrites the current page rather than loading entire new pages from a server
What is the Virtual DOM?,A programming concept where a virtual representation of the UI is kept in memory and synced with the real DOM
What is the front-end?,The part of a web application that interacts with users
What is the back-end?,"The server-side of a web application that handles logic, database, and server configuration"
What is React Native?,A framework to build native mobile apps using React
What are Hooks in React?,Functions that let you use state and other React features without writing a class
What is JSX?,A syntax extension for JavaScript used in React to describe UI structure
What is Redux?,A state management library often used with React
What is a Component in React?,"Independent, reusable pieces of UI in a React application"
What are Props in React?,"Short for properties, used to pass data from parent to child components"
What is State in React?,A built-in object in React used to contain data or information about the component
What is API Integration in React?,Connecting front-end React applications to external data sources
What is Form Handling in React?,Managing user input and form submission in React apps
What is Routing in React?,Navigating between different components/views in a single page application
What is Vite?,A front-end build tool that provides a fast development server and optimized production builds.
Why use Vite with React?,Because it's faster than older tools like Create React App and is recommended in official docs.
What is the full form of LTS?,Long Term Support.
What is Node.js?,A JavaScript runtime that allows you to run JS code outside the browser.
What is npm?,"Node Package Manager, used to manage packages/modules in JavaScript projects."
How to verify Node.js installation?,By running 'node -v' and 'npm -v' in the terminal.
What is VS Code?,"A source-code editor developed by Microsoft, popular among developers."
What is the use of the command 'npm create vite@latest'?,It creates a new Vite-powered project setup.
What does 'code .' do in terminal?,Opens the current folder in Visual Studio Code.
What is the port 5173 used by Vite?,It's the default development server port for Vite.
Why is Vite fast?,"Due to native ES modules, faster hot module replacement, and optimized builds."
What is a development build?,A version of the app for local development with full debugging support.
What is a production build?,An optimized and minified version of the app for deployment.
What are CSS Preprocessors?,Tools like SASS or LESS that add functionality to CSS.
What is a CSS Module?,A CSS file in which all class names and animation names are scoped locally by default.
How to install Node.js on Mac?,Download the installer from the official Node.js site and follow the setup steps.
What does LTS stand for in Node.js?,Long Term Support.
How to verify Node.js and npm installation on Mac?,Use the commands 'node -v' and 'npm -v' in a new terminal.
Why do Node and npm have different versions?,Because they are separate tools bundled together; their versioning is independent.
How to install VS Code on Mac?,"Download it from the official VS Code site, then run the installer and follow instructions."
What is Vite used for?,It's a front-end tool used for fast project setup and building applications like React.
Why is Vite preferred over Parcel or CRA?,"Vite is faster, more popular, and recommended in React’s official docs."
How to create a React project with Vite?,"Run 'npm create vite@latest', choose React, then JavaScript or TypeScript."
What does the command 'npm install' do?,It installs all required dependencies listed in package.json.
How to start a Vite project?,Run 'npm run dev' after installing dependencies.
What is the purpose of 'code .' command?,It opens the current folder in Visual Studio Code.
What does the port 5173 represent in Vite?,It's a stylized way to represent 'VITE' using numbers resembling characters.
Why does Vite build faster?,It uses native ES modules and provides faster hot module replacement.
What is the difference between development and production build?,"Development builds are for local testing, while production builds are optimized and minified."
What is the role of npm in React setup?,It manages packages and is commonly used for installing and setting up React projects.
Can you learn React without installing it locally?,"Yes, using online editors like StackBlitz, you can learn and practice React without local setup."
What is the benefit of using an online editor for React?,"It works entirely in the browser, requires no installation, and lets you save code in the cloud."
Is there any limitation with React on online editors?,"No major limitations; you can build complete React apps including components, state, and routing."
What online editor was demonstrated for React?,StackBlitz or similar editors were shown as alternatives to local setup.
Does the online editor support saving code?,"Yes, it allows code saving via account login so you can resume work across systems."
Can you use React hooks like useState in online editors?,"Yes, all React features including hooks work in the online editor."
How to create a new component in the online editor?,"Create a new file, define a function component, and export it as default."
How to use the component in app.js?,Import the component and use it as a tag inside JSX.
How to implement state in the component?,Use the useState hook to declare state variables and update them with events.
What is a benefit of using an online editor on a slow system?,It reduces the load on your system and lets you code even on older machines.
Can you test interactivity like click events online?,"Yes, you can add buttons, handle events, and see real-time output."
Is signup required to use the online editor?,"No, but signing up allows you to save and access your work across devices."
How does hot reloading work in online editors?,Changes are reflected instantly without needing to refresh the browser.
What is the default structure of the online React setup?,"It includes folders like public, src, components, and files like App.js and package.json."
Can you use this editor across multiple systems?,"Yes, your code is cloud-saved and accessible from anywhere after login."
Which is the first file that executes in a React app?,index.html
What does index.html contain that is critical for React?,A root <div> and a <script> tag loading main.js
What does main.js do in React?,It finds the root div and renders the App component inside it.
Where do we typically write our first React code?,Inside App.js
What is a React component?,A JavaScript function that returns JSX (HTML-like syntax).
Why should component names start with a capital letter?,To differentiate them from native HTML tags for React's rendering logic.
What happens if a component name starts with lowercase?,React may treat it as a native HTML tag and fail to render it properly.
What is JSX?,JavaScript XML – a syntax extension that looks like HTML but is used in JavaScript.
What is required to return multiple JSX elements in a component?,They must be wrapped inside a parent tag like <div>.
How to create a new component in React?,"Create a function, return JSX, and export it using export default."
How to import a custom component in another file?,"Use the import ComponentName from ""./ComponentName"" syntax."
Can we rename exported components during import?,"Yes, by using import CustomName from ... you can rename it on import."
What is the key difference between a library and a framework?,Libraries let you control flow; frameworks control flow themselves.
Is React a library or framework?,React is a library.
What are .jsx and .tsx file extensions?,".jsx = JavaScript XML, .tsx = TypeScript XML."
What is the most important file in a React project created with Vite?,package.json
What happens if you delete package.json?,Your project won't run; it defines project dependencies and scripts.
